No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_00m46s19f.jpg, 00:46, no pain, 0.88654 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_00m46s20f.jpg, 00:46, no pain, 0.87392 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_00m51s03f.jpg, 00:51, no pain, 0.88058 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_00m53s22f.jpg, 00:53, no pain, 0.87329 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_00m53s28f.jpg, 00:53, no pain, 0.88713 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_00m57s20f.jpg, 00:57, no pain, 0.85208 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m03s20f.jpg, 01:03, no pain, 0.82353 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m03s22f.jpg, 01:03, no pain, 0.85487 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m06s14f.jpg, 01:06, no pain, 0.86157 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m08s24f.jpg, 01:08, no pain, 0.71301 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m11s17f.jpg, 01:11, no pain, 0.76589 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m13s07f.jpg, 01:13, no pain, 0.77579 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m13s28f.jpg, 01:13, no pain, 0.75740 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m14s28f.jpg, 01:14, no pain, 0.60362 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m22s20f.jpg, 01:22, pain, 0.66284 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m23s14f.jpg, 01:23, no pain, 0.51972 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m26s08f.jpg, 01:26, no pain, 0.83880 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m26s24f.jpg, 01:26, no pain, 0.69377 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m45s03f.jpg, 01:45, no pain, 0.57871 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m45s04f.jpg, 01:45, no pain, 0.59307 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m47s03f.jpg, 01:47, pain, 0.64237 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m48s20f.jpg, 01:48, no pain, 0.96280 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m50s21f.jpg, 01:50, pain, 0.54503 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m56s29f.jpg, 01:56, no pain, 0.79059 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m58s01f.jpg, 01:58, no pain, 0.76565 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_01m58s11f.jpg, 01:58, no pain, 0.82135 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m02s05f.jpg, 02:02, no pain, 0.78190 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m06s07f.jpg, 02:06, no pain, 0.91278 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m06s11f.jpg, 02:06, no pain, 0.94411 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m12s08f.jpg, 02:12, no pain, 0.84913 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m13s06f.jpg, 02:13, no pain, 0.91006 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m14s24f.jpg, 02:14, no pain, 0.81954 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m15s29f.jpg, 02:15, no pain, 0.89770 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m23s11f.jpg, 02:23, no pain, 0.79698 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m23s12f.jpg, 02:23, no pain, 0.74603 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m26s11f.jpg, 02:26, no pain, 0.60312 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m26s17f.jpg, 02:26, pain, 0.50653 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m31s17f.jpg, 02:31, pain, 0.55448 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m34s17f.jpg, 02:34, no pain, 0.86278 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m34s27f.jpg, 02:34, no pain, 0.85722 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m41s02f.jpg, 02:41, no pain, 0.53259 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m41s24f.jpg, 02:41, no pain, 0.74103 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m43s11f.jpg, 02:43, no pain, 0.87821 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m43s18f.jpg, 02:43, no pain, 0.90092 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m56s06f.jpg, 02:56, no pain, 0.82181 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_02m56s08f.jpg, 02:56, no pain, 0.80641 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m02s23f.jpg, 03:02, no pain, 0.70191 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m03s08f.jpg, 03:03, no pain, 0.63822 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m04s11f.jpg, 03:04, no pain, 0.80101 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m07s17f.jpg, 03:07, no pain, 0.93676 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m10s03f.jpg, 03:10, no pain, 0.56420 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m11s02f.jpg, 03:11, no pain, 0.86931 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m11s25f.jpg, 03:11, no pain, 0.74694 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m20s07f.jpg, 03:20, no pain, 0.74484 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m22s09f.jpg, 03:22, no pain, 0.58981 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m27s17f.jpg, 03:27, no pain, 0.89344 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m30s14f.jpg, 03:30, no pain, 0.88094 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m35s25f.jpg, 03:35, no pain, 0.80909 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m41s24f.jpg, 03:41, no pain, 0.84182 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m41s28f.jpg, 03:41, no pain, 0.77693 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m57s25f.jpg, 03:57, no pain, 0.75720 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_03m58s25f.jpg, 03:58, no pain, 0.68931 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m00s30f.jpg, 04:00, no pain, 0.86738 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m02s13f.jpg, 04:02, no pain, 0.63072 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m02s22f.jpg, 04:02, no pain, 0.79016 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m03s26f.jpg, 04:03, pain, 0.76115 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m13s04f.jpg, 04:13, no pain, 0.58131 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m13s05f.jpg, 04:13, pain, 0.53992 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m18s13f.jpg, 04:18, no pain, 0.72539 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m18s14f.jpg, 04:18, no pain, 0.70423 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m24s07f.jpg, 04:24, no pain, 0.84235 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m24s27f.jpg, 04:24, no pain, 0.77462 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m34s25f.jpg, 04:34, no pain, 0.76840 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m35s13f.jpg, 04:35, no pain, 0.87874 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m43s17f.jpg, 04:43, no pain, 0.61738 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m45s25f.jpg, 04:45, no pain, 0.69964 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m51s09f.jpg, 04:51, no pain, 0.67077 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_04m52s12f.jpg, 04:52, no pain, 0.71258 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m05s03f.jpg, 05:05, no pain, 0.89004 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m32s25f.jpg, 05:32, no pain, 0.55456 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m36s07f.jpg, 05:36, no pain, 0.75405 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m43s21f.jpg, 05:43, pain, 0.60013 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m43s29f.jpg, 05:43, pain, 0.55712 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m47s03f.jpg, 05:47, no pain, 0.52043 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m47s07f.jpg, 05:47, no pain, 0.79024 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m52s13f.jpg, 05:52, no pain, 0.66817 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_05m56s25f.jpg, 05:56, no pain, 0.77760 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m25s07f.jpg, 06:25, no pain, 0.86550 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m28s16f.jpg, 06:28, no pain, 0.71671 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m33s19f.jpg, 06:33, no pain, 0.69805 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m34s22f.jpg, 06:34, no pain, 0.60624 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m38s24f.jpg, 06:38, no pain, 0.72320 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m40s13f.jpg, 06:40, no pain, 0.60298 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m44s17f.jpg, 06:44, no pain, 0.83564 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m58s13f.jpg, 06:58, no pain, 0.52189 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_06m58s28f.jpg, 06:58, pain, 0.69227 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m02s10f.jpg, 07:02, pain, 0.76719 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m09s02f.jpg, 07:09, pain, 0.61996 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m11s10f.jpg, 07:11, pain, 0.79536 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m15s07f.jpg, 07:15, pain, 0.64860 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m25s28f.jpg, 07:25, no pain, 0.77791 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m26s07f.jpg, 07:26, no pain, 0.71334 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m28s25f.jpg, 07:28, pain, 0.50387 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m28s28f.jpg, 07:28, no pain, 0.57605 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m30s16f.jpg, 07:30, no pain, 0.86486 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m30s25f.jpg, 07:30, pain, 0.50523 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m32s24f.jpg, 07:32, no pain, 0.76525 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m38s13f.jpg, 07:38, pain, 0.79358 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m41s07f.jpg, 07:41, pain, 0.81292 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m45s07f.jpg, 07:45, pain, 0.86890 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m47s14f.jpg, 07:47, pain, 0.58327 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m48s20f.jpg, 07:48, no pain, 0.51997 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m51s22f.jpg, 07:51, pain, 0.84741 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m54s10f.jpg, 07:54, pain, 0.85554 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m58s12f.jpg, 07:58, no pain, 0.78090 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_07m58s22f.jpg, 07:58, no pain, 0.87083 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_08m00s18f.jpg, 08:00, no pain, 0.81353 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_08m07s07f.jpg, 08:07, no pain, 0.80612 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_09m45s05f.jpg, 09:45, no pain, 0.88954 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_09m45s10f.jpg, 09:45, no pain, 0.81660 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_09m51s13f.jpg, 09:51, no pain, 0.56790 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_09m53s10f.jpg, 09:53, no pain, 0.63813 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m10s07f.jpg, 10:10, pain, 0.61392 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m10s27f.jpg, 10:10, pain, 0.60582 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m24s17f.jpg, 10:24, pain, 0.50261 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m27s13f.jpg, 10:27, pain, 0.65484 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m31s17f.jpg, 10:31, pain, 0.63648 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m34s28f.jpg, 10:34, no pain, 0.56604 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m42s01f.jpg, 10:42, pain, 0.52909 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m44s22f.jpg, 10:44, no pain, 0.56816 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m45s10f.jpg, 10:45, no pain, 0.66867 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m45s29f.jpg, 10:45, no pain, 0.87754 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m52s02f.jpg, 10:52, pain, 0.56972 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m52s10f.jpg, 10:52, pain, 0.55561 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m54s19f.jpg, 10:54, no pain, 0.74518 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_10m58s25f.jpg, 10:58, no pain, 0.53659 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m01s07f.jpg, 11:01, pain, 0.60816 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m05s13f.jpg, 11:05, no pain, 0.58452 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m08s22f.jpg, 11:08, no pain, 0.55926 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m08s24f.jpg, 11:08, pain, 0.54419 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m12s22f.jpg, 11:12, pain, 0.63455 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m16s13f.jpg, 11:16, pain, 0.64372 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m17s07f.jpg, 11:17, no pain, 0.51801 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m18s22f.jpg, 11:18, pain, 0.51083 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m20s10f.jpg, 11:20, no pain, 0.68812 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m23s28f.jpg, 11:23, no pain, 0.52077 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m24s04f.jpg, 11:24, pain, 0.53836 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m27s13f.jpg, 11:27, pain, 0.56507 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m32s06f.jpg, 11:32, no pain, 0.86317 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m32s09f.jpg, 11:32, no pain, 0.88494 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m32s28f.jpg, 11:32, pain, 0.63800 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m35s05f.jpg, 11:35, pain, 0.75134 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m41s17f.jpg, 11:41, no pain, 0.51935 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m41s21f.jpg, 11:41, pain, 0.55139 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m48s04f.jpg, 11:48, pain, 0.59933 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m48s23f.jpg, 11:48, pain, 0.66022 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m52s17f.jpg, 11:52, no pain, 0.59078 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m53s23f.jpg, 11:53, pain, 0.53765 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m53s28f.jpg, 11:53, no pain, 0.50275 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_11m54s30f.jpg, 11:54, no pain, 0.71913 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m03s25f.jpg, 12:03, no pain, 0.86272 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m05s22f.jpg, 12:05, no pain, 0.74237 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m06s10f.jpg, 12:06, no pain, 0.60543 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m06s17f.jpg, 12:06, no pain, 0.70239 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m10s19f.jpg, 12:10, no pain, 0.71798 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m12s23f.jpg, 12:12, pain, 0.87986 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m16s17f.jpg, 12:16, pain, 0.85568 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m18s13f.jpg, 12:18, no pain, 0.74408 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m23s02f.jpg, 12:23, no pain, 0.75749 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m23s08f.jpg, 12:23, no pain, 0.83152 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m24s04f.jpg, 12:24, no pain, 0.64147 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m25s03f.jpg, 12:25, no pain, 0.75442 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m35s21f.jpg, 12:35, no pain, 0.82178 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m35s28f.jpg, 12:35, no pain, 0.79321 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m45s18f.jpg, 12:45, no pain, 0.81870 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m45s20f.jpg, 12:45, no pain, 0.85490 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m56s22f.jpg, 12:56, no pain, 0.91922 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_12m56s23f.jpg, 12:56, no pain, 0.89858 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m04s23f.jpg, 13:04, no pain, 0.80034 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m34s02f.jpg, 13:34, no pain, 0.82097 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m36s17f.jpg, 13:36, no pain, 0.73820 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m41s22f.jpg, 13:41, no pain, 0.74435 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m42s10f.jpg, 13:42, no pain, 0.67378 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m50s25f.jpg, 13:50, no pain, 0.86040 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_13m53s02f.jpg, 13:53, no pain, 0.85323 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m03s07f.jpg, 14:03, no pain, 0.85406 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m03s10f.jpg, 14:03, no pain, 0.82972 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m14s13f.jpg, 14:14, no pain, 0.81142 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m15s13f.jpg, 14:15, no pain, 0.68956 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m20s19f.jpg, 14:20, no pain, 0.67809 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m27s21f.jpg, 14:27, no pain, 0.67280 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m30s12f.jpg, 14:30, no pain, 0.66004 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m34s20f.jpg, 14:34, no pain, 0.83241 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m48s25f.jpg, 14:48, no pain, 0.83821 
